产品信息,设备类型,CPE信息
dnscrypt-proxy,,cpe:/a:dnscrypt:dnscrypt-proxy
dnsmasq,WAP,cpe:/a:thekelleys:dnsmasq:$1
dnsmasq,,cpe:/a:pi-hole:pi-hole | cpe:/a:thekelleys:dnsmasq:$1
dnsmasq,,cpe:/a:thekelleys:dnsmasq
dnsmasq,,cpe:/a:thekelleys:dnsmasq:$1
pi-hole FTLDNS,,cpe:/a:pi-hole:ftldns
,,
Lotus Domino Console,,cpe:/a:ibm:lotus_domino
Lugdunum eserver,,
MLDonkey multi-network P2P GUI port,,
MLDonkey multi-network P2P server control port,,
MLDonkey multi-network P2P server information port,,
MLDonkey multi-network P2P server,,
Destiny DPS Mini shell,printer,
Dell Remote Access Controller 4 console,,cpe:/h:dell:remote_access_card:4
Dragon realtime shell,,
DrawPile,,cpe:/a:calle_laakkonen:drawpile
DrawPile,,cpe:/a:calle_laakkonen:drawpile:$2
DrawPile,,cpe:/a:calle_laakkonen:drawpile:0.7
DrawPile,,cpe:/a:calle_laakkonen:drawpile:0.7.0
DrawPile,,cpe:/a:calle_laakkonen:drawpile:0.8
DrawPile,,cpe:/a:calle_laakkonen:drawpile:0.8.0
DrawPile,,cpe:/a:calle_laakkonen:drawpile:0.8.1
DrawPile,,cpe:/a:calle_laakkonen:drawpile:0.8.6
DrawPile,,cpe:/a:calle_laakkonen:drawpile:0.9
DrawPile,,cpe:/a:calle_laakkonen:drawpile:0.9.6
DrawPile,,cpe:/a:calle_laakkonen:drawpile:0.9.9
Ruby DRb RMI,,cpe:/a:ruby-lang:ruby:$2
Apache Derby DRDA,,cpe:/a:apache:derby
IBM DRDA,,
,,
Drobo-FS DDSVC,,
Drobo NASD,,
DrWeb,,
DrWeb,,cpe:/a:drweb:drweb:$2.$3
dsl_cpe_control,broadband router,
Avocent KVM DSR video,,
OpenSSL DTLS 1.0,,cpe:/a:openssl:openssl
,,
Durian Web Application Server III,,cpe:/a:mozilla:durian_web_application_server:$1 | cpe:/o:microsoft:windows
Dusk Java-based game,,
LTS or QSEE DVR video server,media device,
DYNAST solver,,cpe:/o:microsoft:windows
EchoLink radio-over-VoIP,,
,,
Compuware ServerVantage EcoNTAgt,,cpe:/a:compuware:servervantage_agent
eCopy Agent,,
ED2KLink Server,,
EFI Fiery WebTools communication,,
EFI Fiery Command WorkStation,,
Ingenico EFTSRVd,,cpe:/o:microsoft:windows
Eggdrop IRC bot console,,cpe:/a:eggheads:eggdrop
Eggdrop IRC bot console,,cpe:/a:eggheads:eggdrop:$1
Eggdrop irc bot console,,cpe:/a:eggheads:eggdrop
Eggdrop irc bot console,,cpe:/a:eggheads:eggdrop:$2
Eggdrop irc bot console,,cpe:/a:eggheads:eggdrop::::fr
EgoSecure Agent xmlrpc,,
Elasticsearch binary API,,cpe:/a:elasticsearch:elasticsearch
Cardinal Electra server,,cpe:/a:cardinal_kft:electra
ELF 32-bit executable file,,
ELF 64-bit executable file,,
TNT ELM log agent,,cpe:/o:microsoft:windows
TNT ELM log manager,,cpe:/o:microsoft:windows
EMC DataDomain,,
EMC PowerPath,,cpe:/a:emc:powerpath:$5
EMCO Remote Screenshot,,
EnCase Servlet,,
Enemy Territory Admin Mod,,
Enistic Energy Manager,,
EyezOn EnvisaLink,security-misc,
Erlang Port Mapper Daemon,,
Epoptes LTSPd,,cpe:/a:epoptes:epoptes
Extensible Provisioning Protocol,,
,,
Ericom PowerTermWebConnect,,cpe:/o:microsoft:windows
Ericsson Timestep Permit VPN,,
Erlang Distribution Node,,
Hyperion Essbase,,
Ethereum JSON-RPC,,
eTRAYz NAS device setup port,storage-misc,
newfreight Euro Truck Simulator 2,,cpe:/a:scs_software:euro_truck_simulator_2
EVE Online game server,,
exacqVision video surveillance,,
Exalead search appliance,,
AIX rexecd,,cpe:/o:ibm:aix
HP-UX rexecd,,cpe:/o:hp:hp-ux
OpenVMS execd,,cpe:/o:hp:openvms
netkit-rsh rexecd,,cpe:/a:netkit:netkit | cpe:/o:linux:linux_kernel
,,
Plan 9 exportfs,,cpe:/o:belllabs:plan_9
Extron $1 serial port,,cpe:/h:extron:$1
HHVM FastCGI,,cpe:/a:hiphop_virtual_machine_for_php_project:hiphop_virtual_machine_for_php
Versant FastObjects database,,
fcgiwrap,,
Freenet Client Protocol listener,,
Freenet Client Protocol 2.0,,
LaCrosse IT+ Reader,specialized,
,,
Fiesta Online game server,,
File Replication Pro,,
FileMaker xDBC,,
FileMaker xDBC,,cpe:/o:apple:mac_os_x:$2
IBM FileNet System Manager Dashboard,,cpe:/a:ibm:datacap:$2 | cpe:/a:ibm:filenet_system_manager_dashboard
IBM FileNet System Manager Dashboard,,cpe:/a:ibm:filenet_system_manager_dashboard
FileZilla Server admin service,,cpe:/a:filezilla-project:filezilla_server
FileZilla Server admin service,,cpe:/a:filezilla-project:filezilla_server:0.9
ArGoSoft Mail fingerd,,cpe:/o:microsoft:windows
BSD fingerd,,cpe:/a:bsd:fingerd
BSD/Linux fingerd,,
Bay Networks Micro Annex terminal server fingerd,terminal server,
Cfingerd,,
Cisco fingerd,router,cpe:/o:cisco:ios
Configurable Finger-Query Daemon,,
Debian Cfingerd,,cpe:/a:debian:cfingerd | cpe:/o:debian:debian_linux | cpe:/o:linux:linux_kernel
Debian fingerd,,cpe:/o:debian:debian_linux | cpe:/o:linux:linux_kernel
Dell $1 laser printer fingerd,printer,
Dell Photo AIO $1 printer fingerd,printer,cpe:/h:dell:photo_aio_$1
Digital UNIX fingerd,,cpe:/o:dec:digital_unix
FreeBSD fingerd,,cpe:/o:freebsd:freebsd
Hummingbird fingerd,,cpe:/o:microsoft:windows_nt:$1
IBM Infoprint $1 fingerd,print server,"cpe:/a:ibm:infoprint_$SUBST(1,"" "",""_"")"
IQinVision fingerd,webcam,
IcculusFinger,,
Internet Rex finger server,,
Lantronix ETS16 fingerd,terminal server,cpe:/o:christopher_williams:punix:$1
Lantronix MSS100 serial interface fingerd,specialized,
Lantronix MSS485 serial to ethernet bridge fingerd,bridge,
Lexmark $1 printer fingerd,printer,cpe:/h:lexmark:$1
Lexmark Optra LaserPrinter fingerd,printer,
Lexmark T642 printer fingerd,printer,cpe:/h:lexmark:t642
Linux fingerd,,cpe:/o:linux:linux_kernel
Mercury/32 fingerd,,cpe:/o:microsoft:windows
MiamiDx fingerd,,
NetBSD fingerd,,cpe:/o:netbsd:netbsd
OSF/1 fingerd,,cpe:/o:dec:osf_1
OpenBSD fingerd,,cpe:/o:linux:linux_kernel:$1
OpenLDAP fingerd,,cpe:/a:openldap:openldap
OpenVMS fingerd,,cpe:/o:hp:openvms
Post.Office fingerd,,
SGI IRIX or NeXTSTEP fingerd,,
SLMail fingerd,,cpe:/o:microsoft:windows
Solaris 10 fingerd,,cpe:/o:sun:sunos:5.10
Stock and Trade Finger Server fingerd,,
Sun Solaris fingerd,,cpe:/o:sun:sunos
Windows fingerd,,cpe:/o:microsoft:windows
XMail fingerd,,cpe:/a:davide_libenzi:xmail
cfingerd,,
efingerd,,cpe:/a:radovan_garabik:efingerd
ffingerd,,
mIRC with ircN script fingerd,,cpe:/o:microsoft:windows
mlfingerd,,
xfingerd,,
Firebird RDBMS,,cpe:/a:firebirdsql:firebird
ConfigServer Security & Firewall,,
Raining Data FlashCONNECT,,
FlexLM license manager,,
Adobe Flash Media Server core,,cpe:/a:adobe:flash_media_server
HP-UX X Font Server,,cpe:/o:hp:hp-ux
IBM AIX X Font Server,,cpe:/o:ibm:aix
Sun Solaris fs.auto,,cpe:/o:sun:sunos
X Font Server for TrueType Fonts,,
X.Org X Font Server,,cpe:/a:x:x.org_x11
XFree86 X Font Server,,cpe:/a:xfree86:xfree86
foolscap RPC,,
Fortinet FSAE Server,,
Fortinet SSO Collector Agent,,
Freeciv,,cpe:/a:freeciv:freeciv:$1
Freeciv,,cpe:/a:freeciv:freeciv:1
Freeciv,,cpe:/a:freeciv:freeciv:2
Freeciv,,cpe:/a:freeciv:freeciv:2:::fr
Freeciv,,cpe:/a:freeciv:freeciv:2:::pl
FreeDoko game server,,
Freelancer,,
Freenet,,
FreeSWITCH mod_event_socket,,cpe:/a:freeswitch:freeswitch
FreeVCS,,cpe:/o:microsoft:windows
Frozen Bubble game server,,
Fortinet Server Authentication Extension,,
FSD Flight Simulator,,
AVM KEN! ftp proxy,,
AnalogX FTP proxy,,cpe:/a:analogx:proxy:$2
CCProxy ftp proxy,,cpe:/o:microsoft:windows
Cisco Web Security ftp proxy,,cpe:/h:cisco:web_security_appliance
Cleo VLProxy ftp proxy,,
CoolProxy ftp proxy,,cpe:/o:microsoft:windows
DeleGate ftp proxy,,
FileCatalyst ftp proxy,,
Finjan SurfinGate ftp proxy,,
Frox ftp proxy,,cpe:/a:james_hollingshead:frox
Gauntlet FTP proxy,,
Generic FTP proxy,,
JanaServer ftp proxy,,cpe:/o:microsoft:windows
Java FTP Proxy,,
McAfee Web Gateway ftp proxy,,cpe:/a:mcafee:web_gateway:$1
NetApp NetCache ftp proxy,,cpe:/a:netapp:netcache
Novell iChain ftp proxy,,cpe:/a:novell:ichain
Pi-Soft SpoonProxy ftp proxy,,cpe:/o:microsoft:windows
Proxy Suite ftp proxy,,
Proxy602 ftp proxy,firewall,
Secure Computing Sidewinder firewall ftp proxy,firewall,cpe:/h:securecomputing:sidewinder
Sidewinder FTP proxy,,
Squid ftp proxy,,cpe:/a:squid-cache:squid
Symantec Enterprise Firewall FTP proxy,firewall,cpe:/a:symantec:enterprise_firewall
Trend Micro InterScan Web Security Suite ftp proxy,,cpe:/a:trendmicro:interscan_web_security_suite
UserGate ftpd,,cpe:/o:microsoft:windows
Webshield2 FTP proxy,,cpe:/a:bluecoat:winproxy | cpe:/o:microsoft:windows
Webwasher ftp proxy,,cpe:/o:microsoft:windows
WinGate ftp proxy,,cpe:/o:microsoft:windows
WinProxy FTP proxy,,cpe:/a:bluecoat:winproxy | cpe:/o:microsoft:windows
Zscaler ftp proxy,,
ezProxy ftp proxy,,cpe:/o:microsoft:windows
jftpgw ftp proxy,,
kingate ftp proxy,,cpe:/o:microsoft:windows
3Com 3CDaemon ftpd,,
3Com ftpd,,
A+V Link NVS-4000 surveillance system ftpd,webcam,
A2 ftpd,,cpe:/o:eth:a2
ABB Robotics ftpd,specialized,cpe:/o:windriver:vxworks:$1
ACLogic CesarFTPd,,cpe:/a:aclogic:cesarftpd:$1 | cpe:/o:microsoft:windows
ACLogic CesarFTPd,,cpe:/a:aclogic:cesarftpd:$1:::zh | cpe:/o:microsoft:windows
ACLogic CesarFTP,,cpe:/a:aclogic:cesarftpd:$1 | cpe:/o:microsoft:windows
AD Network Video Dedicated Micros DVR ftpd,webcam,
ADI Convergence Galaxy update ftpd,,
ALFTP,,
AMX Inspired Signage PlayerFTPService,,cpe:/a:amx:playerftpservice
AMX NetLinx A/V control system ftpd,media device,cpe:/o:harman:amx_firmware:$1 | cpe:/o:windriver:vxworks:$1
APC AOS ftpd,power-device,cpe:/o:apc:aos
APC ftp server,power-device,
ATAboy2X ftpd,storage-misc,
AVM FRITZ!Box ftpd,broadband router,
AXIS $1 Video Server Blade ftpd,media device,
AXIS $1 Video Server ftpd,media device,
AXIS $1 Video Server ftpd,,
AXIS $1 Webcam ftpd,webcam,cpe:/h:axis:$1
AXIS $1 camera ftpd,webcam,
AXIS $1 print server ftpd,print server,cpe:/h:axis:$1
AXIS $1 video encoder ftpd,media device,
AXIS 205 Network Video ftpd,webcam,
AXIS 250S Network Video ftpd,webcam,
AXIS StorPoint E100 CD-ROM Server ftpd,storage-misc,cpe:/h:axis:storpoint_cd_e100
Aastra A150 VoIP phone ftpd,VoIP phone,cpe:/h:aastra:a150
Acritum Femitter Server ftpd,,cpe:/a:acritum:femitter_server | cpe:/o:microsoft:windows
Actiontec router ftpd,broadband router,cpe:/a:busybox:busybox:$1
ActiveFax ftpd,,
Adobe Business Catalyst CMS ftpd,,
Adtec broadcast video ftpd,media device,
Aironet $2 wireless bridge ftpd,WAP,cpe:/h:cisco:aironet_$2
Alcatel $2 Service Router ftpd,router,cpe:/h:alcatel:$2_service_router | cpe:/o:alcatel:timos:$1
Alcatel Litespan-2000 PBX ftpd,PBX,cpe:/h:alcatel:litespan-2000
Alcatel OmniPCX ftpd,PBX,cpe:/a:alcatel-lucent:omnipcx
Alcatel Speedtouch ADSL router ftpd,broadband router,
Alcatel-Lucent ESS 7450 router ftpd,router,cpe:/h:alcatel-lucent:ess_7450 | cpe:/o:alcatel-lucent:timos
Alfresco Document Management System ftpd,,
Alpha ftpd,,
AlterVista ftpd,,
Amoks PlayStation Portable ftpd,game console,
Android ftpd,,
Apache mod_ftpd,,cpe:/a:apache:http_server
Apache mod_ftpd,,cpe:/a:apache:http_server | cpe:/o:canonical:ubuntu_linux | cpe:/o:canonical:ubuntu_linux | cpe:/o:linux:linux_kernel
Apache mod_ftpd,,cpe:/a:apache:http_server | cpe:/o:linux:linux_kernel
ArGoSoft ftpd,,cpe:/o:microsoft:windows
Arcadyan DSL router ftpd,,
Arcanesoft Vermillion ftpd,,cpe:/o:microsoft:windows
Argosy Research HD363N Network HDD ftpd,storage-misc,
Aruba router ftpd,router,
Astoria Networks o2 MediaCenter ftpd,broadband router,cpe:/h:astoria_networks:o2_mediacenter
AudioVault ftpd,,cpe:/o:microsoft:windows
Avalaunch XBOX ftpd,game console,
Avalaunch ftpd,game console,
Avery-Dennison Monarch $1 print server ftpd,,
Axis $1 Network Camera ftpd,webcam,cpe:/h:axis:$1_network_camera
Axis $1 Video Encoder ftpd,media device,cpe:/h:axis:$1_video_encoder
Axis network print server ftpd,print server,
Axonix SuperCD ftpd,media device,
Axway SecureTransport ftpd,,cpe:/a:axway:securetransport:$2
BQTFTP ftpd,,cpe:/a:bqt:bqtftp | cpe:/o:dec:$1
BSD ftpd,,
BSDI/Unixware ftpd,,
Baby FTP Server,,cpe:/o:microsoft:windows
Backdoor Pubstro ftpd,,cpe:/o:microsoft:windows
Balance Servers TCAdmin game hosting ftpd,,cpe:/o:microsoft:windows
Barracuda Backup 490 appliance ftpd,storage-misc,
Bay Networks MicroAnnex terminal server ftpd,terminal server,
Belkin USB hub ftpd,,
Belkin/BT/D-Link/Gigaset broadband router ftp firmware update,broadband router,
BetaFTPd,,
Bftpd,,cpe:/a:jesse_smith:bftpd
Bftpd,,cpe:/a:jesse_smith:bftpd:$1
Billion 741GE ADSL router,router,cpe:/h:billion:741ge
BisonWare BisonFTPd,,cpe:/o:microsoft:windows
BlackMoon ftpd,,cpe:/o:microsoft:windows
Blackbox PlayStation 3 ftpd,game console,
Blackjumbodog FTPd,,
Blue Coat ftp proxy,security-misc,
BolinTech Dream FTP Server,,cpe:/o:microsoft:windows
Bomara Tracker 2740 multipurpose server ftpd,,
Brother/HP printer ftpd,printer,
BulletProof FTPd,,cpe:/o:microsoft:windows
BulletProof ftpd,,cpe:/o:microsoft:windows
Bulletproof ftp server,,cpe:/o:microsoft:windows
BusyBox ftpd,webcam,cpe:/a:busybox:busybox | cpe:/h:dlink:dcs-932l
BusyBox ftpd,,cpe:/a:busybox:busybox
CAB A4+ label printer ftpd,printer,
CAB MACH 4 label printer ftpd,printer,
CVX ftpd,,
Canon $1 FTP Print Server,print server,cpe:/h:canon:$1
Canon VB-C10/VB-C10R webcam ftpd,webcam,
Canon iPF6100 printer ftpd,printer,cpe:/h:canon:ipf6100
Canon imageRUNNER 570 printer ftpd,printer,cpe:/h:canon:imagerunner_570
Canon imageRUNNER C2880 printer ftpd,printer,cpe:/h:canon:imagerunner_c2880
Canon imageRUNNER printer ftpd,printer,
Centova Cast ftpd,,
Cerberus FTP Server,,cpe:/a:cerberusftp:ftp_server | cpe:/o:microsoft:windows
Cerberus ftpd,,cpe:/a:cerberusftp:ftp_server | cpe:/o:microsoft:windows
Check Point Firewall-1 ftpd,firewall,cpe:/a:checkpoint:firewall-1
Choopa GameServers.com ftpd,,
Cisco $1 videoconferencing bridge,VoIP adapter,cpe:/h:cisco:$1
Cisco 3000 series VPN ftpd,security-misc,cpe:/o:cisco:ios
Cisco IronPort mail appliance ftpd,,
Cisco Site Selector ftpd,security-misc,cpe:/h:cisco:global_site_selector:-
Cisco StarOS ftpd,,cpe:/o:cisco:staros
Cisco Wireless Control System ftpd,,cpe:/h:cisco:wireless_control_system
Cisco ftpd,,cpe:/o:cisco:ios
Citizen CLP-$1 label printer ftpd,printer,
Code-Crafters Ability ftpd,,cpe:/a:code-crafters:ability_ftp_server | cpe:/o:microsoft:windows
Code-Crafters Ability ftpd,,cpe:/a:code-crafters:ability_ftp_server:$1 | cpe:/o:microsoft:windows
Cognex In-Sight ftpd,webcam,cpe:/a:cognex:in-sight:$2
Comau $1 robot control unit ftpd,specialized,
CommuniGate Pro ftpd,,cpe:/a:stalker:communigate_pro
CommuniGate Pro ftpd,,cpe:/a:stalker:communigate_pro:$1
CommuniGate Pro ftpd,,cpe:/a:stalker:communigate_pro:$2
Compaq Tru64 ftp server,,cpe:/o:compaq:tru64
CompuMaster WT-6500 ThinClient ftpd,,cpe:/o:microsoft:windows
Computer Solutions RT-IP ftpd,,
Comtrend FTP firmware update utility,,
Conti ftpd,,cpe:/o:microsoft:windows
Core FTP Server,,cpe:/a:coreftp:core_ftp:$1
Crob FTPd,,
CrossFTP java ftpd,,
CrushFTP ftpd,,cpe:/a:crushftp:crushftp
CrushFTP,,cpe:/a:crushftp:crushftp
CrushFTP,,cpe:/a:crushftp:crushftp:$1
D-Link $1 webcam ftpd,webcam,cpe:/h:dlink:$1
D-Link Printer Server ftpd,print server,
D-Link or USRobotics ADSL router firmware update ftpd,broadband router,
D-Link/Comtrend DSL modem ftp firmware update,,
DEC OpenVMS MultiNet FTPd,,
DViCO TVIX 6500A set top box ftpd,media device,
DataHive ftpd,,
Dell $1 color laser printer ftpd,printer,cpe:/h:dell:$1
Dell $1 laser printer ftpd,printer,cpe:/h:dell:$1
Dell $2 Wireless Printer Adapter ftpd,print server,cpe:/h:dell:$2
Dell $2 printer ftpd,printer,cpe:/h:dell:$2
DeviceWISE M2M ftpd,,cpe:/a:telit:devicewise_m2m
DigiDNA FileApp ftpd,,cpe:/o:apple:iphone_os
Digital UNIX ftpd,,cpe:/o:dec:digital_unix
Dionaea honeypot ftpd,,
DrFTPD,,
DrayTek ADSL router ftpd,,
DrayTek Vigor 2820 ADSL router ftpd,broadband router,cpe:/h:draytek:vigor_2820
DrayTek Vigor 2820n ADSL router ftpd,broadband router,cpe:/h:draytek:vigor_2820n
DrayTek Vigor ADSL router ftpd,broadband router,
DrayTek Vigor router ftpd,router,
Dreambox ftpd,media device,cpe:/o:linux:linux_kernel
Dumb FTP Server (dftpd),phone,cpe:/o:symbian:symbian
EFI Fiery ftpd,print server,
EMC Scalable Network Accelerator ftpd,,
Easy File Sharing ftpd,,cpe:/a:efssoft:easy_file_sharing_ftp_server | cpe:/o:microsoft:windows
EasyFTP Server ftpd,,cpe:/o:microsoft:windows
Ecosys $1 ftpd,print server,cpe:/h:ecosys:$1
Eltek Power System ftpd,power-misc,
Encrypted FTP,,cpe:/o:microsoft:windows
Epson printer ftpd,printer,
Evaline ftpd,,cpe:/o:apple:mac_os_x
Everything ETP/FTP server,,
EvolutionX ftpd,game console,
Extreme FTPd,,
FANUC CNC controller ftpd,specialized,
FRITZ!Box $1 cable modem ftpd,broadband router,
FRITZ!Box Fon WLAN $1 WAP ftpd,WAP,
FRITZ!Box WLAN $1 WAP ftpd,WAP,
FTP Server for 3DS,media device,cpe:/a:mtheall:ftpd
FTP masquerading as $1,,
FTPServer,phone,cpe:/o:linux:linux_kernel
FTPVita ftpd,game console,cpe:/h:sony:playstation_vita
FTPshell ftpd,,cpe:/o:microsoft:windows
Fastream IQ ftpd,,cpe:/o:microsoft:windows
Fastream NETFile FTPd,,cpe:/o:microsoft:windows
File Manager+ ftpd,,cpe:/a:alphainventor:filemanager | cpe:/o:google:android | cpe:/o:linux:linux_kernel
FileZilla ftpd,,cpe:/a:filezilla-project:filezilla_server | cpe:/o:microsoft:windows
FileZilla ftpd,,cpe:/a:filezilla-project:filezilla_server:$1 | cpe:/o:microsoft:windows
FileZilla ftpd,,cpe:/a:filezilla-project:filezilla_server:$2 | cpe:/o:microsoft:windows
FileZilla ftpd,,cpe:/a:filezilla-project:filezilla_server:ftpd | cpe:/o:microsoft:windows
FirstClass FTP server,,cpe:/a:opentext:firstclass:$2
FortiGate Application filtering,,
Fortigate appliance ftpd,,
FoxGate switch ftpd,switch,
FreeBSD ftpd,,
FreeBSD ftpd,,cpe:/o:freebsd:freebsd
FreeFTPd,,cpe:/o:microsoft:windows
FreeFloat ftpd,,cpe:/a:freefloat:freefloat_ftp_server:$1 | cpe:/o:microsoft:windows
Freebox ftpd,media device,
Fuji Xerox DocuPrint $1 ftpd,printer,cpe:/h:fuji:xerox_docuprint_$1
Fuji Xerox DocuPrint ftpd,printer,
GNU Inetutils FTPd,,cpe:/a:gnu:inetutils:$1
GNU Inetutils FTPd,,cpe:/a:gnu:inetutils:$2
Gene6 ftpd,,
Gene6 ftpd,,cpe:/o:microsoft:windows
Generic WAP ftpd,WAP,
Gestetner DSm622 copier ftpd,printer,
Global Cache GC-100 ftpd,media device,
GlobalSCAPE CuteFTPd,,cpe:/o:microsoft:windows
GlobalSCAPE Secure FTPd,,cpe:/o:microsoft:windows
GlobespanVirata ftpd,broadband router,
Globus GridFTPd,,
Golden PRO ftpd,,cpe:/o:microsoft:windows
Golden ftpd,,cpe:/o:microsoft:windows
Groupcall Xporter ftpd,,cpe:/a:groupcall:xporter:$1
Guild ftpd,,cpe:/o:microsoft:windows
GuildFTPd,,cpe:/o:microsoft:windows
HP FTP Print Server,printer,cpe:/a:hp:ftp_print_server:3.0 | cpe:/h:hp:laserjet_4250
HP JetDirect ftpd,print server,
HP JetDirect ftpd,printer,
HP LaserJet 400 printer ftpd,printer,cpe:/h:hp:laserjet_400
HP LaserJet P4014 printer ftpd,printer,cpe:/h:hp:laserjet_p4014
HP Tandem NonStop ftpd,,
HP-UX ftpd,,cpe:/o:hp:hp-ux
HP-UX or AIX ftpd,,
HP166XC $1 Logic Analyzer ftpd,specialized,
HTC P4000 PDA/Phone ftpd,PDA,cpe:/o:microsoft:windows
Harris FlexStar radio broadcast exciter ftpd,specialized,
Hay Systems HSL 2.75G Femtocell ftpd,WAP,cpe:/o:hay_systems:hsl_2.75g_femtocell
Heimdal Kerberized ftpd,,
"HellSoft FTP server for NetWare 3.1x, 4.x",,cpe:/o:novell:netware
Hermstedt StingRay ftpd,,
Hioki HiCorder 8855 ftpd,specialized,
Home FTP Server,,cpe:/a:ari_pikivirta:home_ftp_server | cpe:/o:microsoft:windows
Homer ftpd,,cpe:/o:microsoft:windows
Huawei Quidway AR28-09 WAP ftpd,WAP,cpe:/h:huawei:quidway_ar28-09
Humax iHDR-5050C DVR ftpd,media device,
Hummingbird FTP server,,cpe:/a:hummingbird:connectivity:$1
Hummingbird ftpd,,cpe:/a:hummingbird:connectivity:$1
HyNetOS ftpd,,cpe:/o:hyperstone:hynetos
IBM FTPSERVE,,cpe:/o:ibm:z%2fvm:$1.$2
IBM Infoprint $2 ftpd,printer,cpe:/h:ibm:infoprint_$2
IBM Infoprint $2$3 ftpd,printer,
IBM NPS 540+/542+ print server ftpd,print server,
IBM OS/2 ftpd,,cpe:/a:ibm:os2_ftp_server | cpe:/o:ibm:os2
IBM OS/2 ftpd,,cpe:/a:ibm:os2_ftp_server:$1 | cpe:/o:ibm:os2
IBM OS/2 ftpd,,cpe:/a:ibm:os2_ftp_server::::de | cpe:/o:ibm:os2
IBM OS/390 ftpd,,cpe:/o:ibm:os_390
IBM OS/400 FTPd,,cpe:/o:ibm:os_400
IBM z/VSE ftpd,,cpe:/o:ibm:z%2fvse
IIS ftpd,,cpe:/a:microsoft:internet_information_services | cpe:/o:microsoft:windows
IIS ftpd,,cpe:/a:microsoft:internet_information_services:7 | cpe:/o:microsoft:windows
IQinVision IQeye ftpd,,
Ice Cold Apps FTP Server Ultimate,,cpe:/a:icecoldapps:ftp_server_ultimate | cpe:/o:google:android | cpe:/o:linux:linux_kernel
IndiFTPD,,
Indy FTP server,,cpe:/a:indy:ftp_server::::de
Infortrend EonStor $1 ftpd,storage-misc,
Infortrend EonStor DS iSCSI host ftpd,storage-misc,cpe:/h:infortrend:esds_$1
Infotec IS $1 ftpd,,
Intel NetportExpress print server ftpd,print server,
InterScan VirusWall NT,,cpe:/o:microsoft:windows
InterScan VirusWall ftpd,,
InterVations FileCOPA ftpd,,cpe:/a:intervations:filecopa:$1 | cpe:/o:microsoft:windows
Intermec 540+/542+ printer ftpd,printer,
Intermec PM4i printer ftpd,printer,cpe:/h:intermec:pm4i
Internet Rex ftpd,,
Ipswitch WS_FTP ftpd,,cpe:/a:ipswitch:ws_ftp | cpe:/o:microsoft:windows
Ipswitch notification ftpd,,cpe:/o:microsoft:windows
IronPort WSA firewall ftpd,firewall,
IronPort firewall ftpd,,
IronPort mail appliance ftpd,,
Ishida Astra counter-top scale ftpd,,
Kaba B-web 93 00 timeclock ftpd,,
KarjaSoft Sami ftpd,,cpe:/o:microsoft:windows
Keil Network Component ftpd,specialized,cpe:/a:keil:network_component
Kiss DP-558 PVR ftpd,media device,
Konica Minolta $1 ftpd,printer,cpe:/h:konicaminolta:$1
Konica Minolta Di3510 Copier ftpd,printer,cpe:/h:konicaminolta:di3510
Konica Minolta FTP Utility ftpd,,
Konica Minolta bizhub printer ftpd,printer,
Konica Minolta bizhub printer smtpd,printer,
Konica Minolta printer ftpd,printer,
Kyocera $1 printer ftpd,printer,cpe:/h:kyocera:$1
Kyocera FS-1000D-series print server ftpd,print server,
Kyocera IB-21E print server ftpd,print server,cpe:/h:kyocera:ib-21e
Kyocera LaserStation 1940 printer ftpd,printer,cpe:/h:kyocera:laserstation_1940
